Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date,Purchase Price,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
LYNSUNATE FORTE,ANTI-MALARIA,,,BOX,5,Brand 14,11,10-01-2019,800,Tax 5%,5,Exclusive,1200,0,,,
VIGRX PLUS,SEX   ENHANCCER,,,BOX,5,Brand 15,11,11-01-2019,1125,Tax 5%,5,Exclusive,1300,6,,,
MAN-G,SEX   ENHANCCER,,,BOX,5,Brand 16,11,12-01-2019,180,Tax 5%,5,Exclusive,250,17,,,
DEDEON  BIG,MULTIVITAMIN,,,BOX,5,Brand 17,11,13-01-2019,1750,Tax 5%,5,Exclusive,2000,17,,,
HONNIHIL,SEX   ENHANCCER,,,BOX,5,Brand 18,11,14-01-2019,1800,Tax 5%,5,Exclusive,2200,45,,,
LYCOFER SYRUP,MULTIVITAMIN,,,BOX,5,Brand 19,11,15-01-2019,750,Tax 5%,5,Exclusive,1000,-1,,,
EMAQUINE SYR,ANTI-MALARIA,,,BOX,5,Brand 20,11,16-01-2019,550,Tax 5%,5,Exclusive,600,8,,,
ZOGA-100,SEX   ENHANCCER,,,BOX,5,Brand 21,11,17-01-2019,65,Tax 5%,5,Exclusive,150,0,,,
ZOGA-50,SEX   ENHANCCER,,,BOX,5,Brand 22,11,18-01-2019,0,Tax 5%,5,Exclusive,150,0,,,
DE-DEONS SMALL,MULTIVITAMIN,,,BOX,5,Brand 23,11,19-01-2019,850,Tax 5%,5,Exclusive,900,0,,,
PECTOL,ANTI ALLERGY,,,BOX,5,Brand 24,11,20-01-2019,90,Tax 5%,5,Exclusive,100,341,,,
CAMOSUNATE 7-13,ANTI-MALARIA,,,BOX,5,Brand 25,11,21-01-2019,7200,Tax 5%,5,Exclusive,900,-36,,,
REPARIL GEL BIG,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 26,11,22-01-2019,1850,Tax 5%,5,Exclusive,2400,6,,,
poc water,RARE,,,BOX,5,Brand 27,11,23-01-2019,0,Tax 5%,5,Exclusive,70,0,,,
NISE SYR,ANTI ALLERGY,,,BOX,5,Brand 28,11,24-01-2019,170,Tax 5%,5,Exclusive,250,-4,,,
DETTOL LIGUID 75ML,DETTOL,,,BOX,5,Brand 29,11,25-01-2019,380,Tax 5%,5,Exclusive,450,71,,,
VITAMIN A CLARION,MULTIVITAMIN,,,BOX,5,Brand 30,11,26-01-2019,330,Tax 5%,5,Exclusive,400,36,,,
GINOVERA CAPS,MULTIVITAMIN,,,BOX,5,Brand 31,11,27-01-2019,170,Tax 5%,5,Exclusive,250,61,,,
KETORAL CREAM,ANTI-BIOTICS,,,BOX,5,Brand 32,11,28-01-2019,300,Tax 5%,5,Exclusive,400,24,,,
TETANUS INJ,ANTI-BIOTICS,,,BOX,5,Brand 33,11,29-01-2019,180,Tax 5%,5,Exclusive,200,75,,,
MENTHOLATUM BALM,ANALGESIC,,,BOX,5,Brand 34,11,30-01-2019,400,Tax 5%,5,Exclusive,450,7,,,
CEFLONAC - SP,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 35,11,31-01-2019,4000,Tax 5%,5,Exclusive,500,58,,,
TRAMAL RETARD 100MG,ANALGESIC CONTROL,,,BOX,5,Brand 36,11,01-02-2019,0,Tax 5%,5,Exclusive,4200,0,,,
DETTOL LIGUID 165ML,DETTOL,,,BOX,5,Brand 37,11,02-02-2019,800,Tax 5%,5,Exclusive,900,35,,,
DEXAFORT 1MG,ANTI ALLERGY,,,BOX,5,Brand 38,11,03-02-2019,800,Tax 5%,5,Exclusive,900,13,,,
RELIEF TABLET,ANALGESIC,,,BOX,5,Brand 39,11,04-02-2019,0,Tax 5%,5,Exclusive,100,-26,,,
GAVISCON SUSP,ANTACIDS,,,BOX,5,Brand 40,11,05-02-2019,2900,Tax 5%,5,Exclusive,3400,3,,,
VITAMIN B12 100MCG,MULTIVITAMIN,,,BOX,5,Brand 41,11,06-02-2019,3000,Tax 5%,5,Exclusive,3700,5,,,
FINEMETHER INJ,ANTI-MALARIA,,,BOX,5,Brand 42,11,07-02-2019,0,Tax 5%,5,Exclusive,100,0,,,
NEMEPRAZOLE 20MG,ANTI ULCERS,,,BOX,5,Brand 43,11,08-02-2019,0,Tax 5%,5,Exclusive,200,0,,,
RANITIDINE INJ,ANTI ULCERS,,,BOX,5,Brand 44,11,09-02-2019,75,Tax 5%,5,Exclusive,300,0,,,
LUCOZADE SPORT,ENERGY BOOST,,,BOX,5,Brand 45,11,10-02-2019,280,Tax 5%,5,Exclusive,400,11,,,
ARISTOBET- N,EYE /EAR DROPS,,,BOX,5,Brand 46,11,11-02-2019,600,Tax 5%,5,Exclusive,700,0,,,
LISINOPRIL 10MG EDEN UK,ANTI-HYPERTENSIVE,,,BOX,5,Brand 47,11,12-02-2019,350,Tax 5%,5,Exclusive,400,-25,,,
REPARIL - GEL SMALL,CREAMS AND LOTIONS,,,BOX,5,Brand 48,11,13-02-2019,1400,Tax 5%,5,Exclusive,1600,8,,,
AMOXIL BEECHAM 500MG,ANTI-BIOTICS,,,BOX,5,Brand 49,11,14-02-2019,650,Tax 5%,5,Exclusive,800,-15.5,,,
MYDRIACYL 1% EYE DROP,EYE /EAR DROPS,,,BOX,5,Brand 50,11,15-02-2019,3200,Tax 5%,5,Exclusive,3500,2,,,
GLUCOSE CHECK,SERVICES,,,BOX,5,Brand 51,11,16-02-2019,0,Tax 5%,5,Exclusive,300,0,,,
DONYFLOX 500MG,ANTI-BIOTICS,,,BOX,5,Brand 52,11,17-02-2019,400,Tax 5%,5,Exclusive,600,16,,,
JOINTACE CAP,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 53,11,18-02-2019,3000,Tax 5%,5,Exclusive,3500,0,,,
MINEX-T INJ,ANTI-HISTAMIN,,,BOX,5,Brand 54,11,19-02-2019,0,Tax 5%,5,Exclusive,50,0,,,
VOLTAREN INJ,ANALGESIC,,,BOX,5,Brand 55,11,20-02-2019,2359,Tax 5%,5,Exclusive,700,0,,,
CLAVULIN 1G,ANTI-BIOTICS,,,BOX,5,Brand 56,11,21-02-2019,0,Tax 5%,5,Exclusive,2500,-3,,,
OMEGA H3,MULTIVITAMIN,,,BOX,5,Brand 57,11,22-02-2019,750,Tax 5%,5,Exclusive,900,103,,,
JOLTAN  PLUS 80/12.5,ANTI-HYPERTENSIVE,,,BOX,5,Brand 58,11,23-02-2019,0,Tax 5%,5,Exclusive,1600,0,,,
CHLORAMPHENICOL INJ,ANTI-BIOTICS,,,BOX,5,Brand 59,11,24-02-2019,500,Tax 5%,5,Exclusive,600,61,,,
LENT INSULIN,ANTI-DIABETIC,,,BOX,5,Brand 60,11,25-02-2019,1000,Tax 5%,5,Exclusive,1500,0,,,
DIAZEPAM 5MG CUP VINCO,SEDATIVES,,,BOX,5,Brand 61,11,26-02-2019,5000,Tax 5%,5,Exclusive,10,1793,,,
COMFIT PAD,SURGICALS,,,BOX,5,Brand 62,11,27-02-2019,620,Tax 5%,5,Exclusive,700,8,,,
SWIDAR,ANTI-MALARIA,,,BOX,5,Brand 63,11,28-02-2019,220,Tax 5%,5,Exclusive,300,242,,,
ROPHEGAN SYR,ANTI-EMETIC,,,BOX,5,Brand 64,11,01-03-2019,280,Tax 5%,5,Exclusive,350,33,,,
D GLOPA NIFEDIPINE RETARD,ANTI-HYPERTENSIVE,,,BOX,5,Brand 65,11,02-03-2019,40,Tax 5%,5,Exclusive,100,0,,,
DEXTROSE WATER 5%,SURGICALS,,,BOX,5,Brand 66,11,03-03-2019,13000,Tax 5%,5,Exclusive,700,38,,,
STRESSVITE,MULTIVITAMIN,,,BOX,5,Brand 67,11,04-03-2019,0,Tax 5%,5,Exclusive,100,0,,,
KLOVINAL PESSARIES,ANTI-BIOTICS,,,BOX,5,Brand 68,11,05-03-2019,2000,Tax 5%,5,Exclusive,2300,14,,,
NEUROTEX,MULTIVITAMIN,,,BOX,5,Brand 69,11,06-03-2019,400,Tax 5%,5,Exclusive,600,0,,,
GAUZE BIG 6'',SURGICALS,,,BOX,5,Brand 70,11,07-03-2019,100,Tax 5%,5,Exclusive,120,79,,,
JOLTAN PLUS 160/25,ANTI-HYPERTENSIVE,,,BOX,5,Brand 71,11,08-03-2019,0,Tax 5%,5,Exclusive,700,0,,,
CHLOROQUINE INJ 30ML,ANTI-MALARIA,,,BOX,5,Brand 72,11,09-03-2019,350,Tax 5%,5,Exclusive,400,3,,,
SIRDALUD 4MG,ANALGESIC,,,BOX,5,Brand 73,11,10-03-2019,2400,Tax 5%,5,Exclusive,2700,11,,,
VOMISTATONDANSETRON INJ,ANTI-EMETIC,,,BOX,5,Brand 74,11,11-03-2019,240,Tax 5%,5,Exclusive,500,28,,,
VICRYL 1,SURGICALS,,,BOX,5,Brand 75,11,12-03-2019,400,Tax 5%,5,Exclusive,500,22,,,
EPSOM SALT,ANTACIDS,,,BOX,5,Brand 76,11,13-03-2019,120,Tax 5%,5,Exclusive,150,14,,,
TOPCONAZOLE SMALL SAT,ANTI-BIOTICS,,,BOX,5,Brand 77,11,14-03-2019,0,Tax 5%,5,Exclusive,60,0,,,
PHARMATON,MULTIVITAMIN,,,BOX,5,Brand 78,11,15-03-2019,0,Tax 5%,5,Exclusive,4500,0,,,
AMARYL 4MG,ANTI-DIABETIC,,,BOX,5,Brand 79,11,16-03-2019,3000,Tax 5%,5,Exclusive,3200,36,,,
AMLOVAR 5MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 80,11,17-03-2019,400,Tax 5%,5,Exclusive,500,3,,,
ADRENALIN INJ,RARE,,,BOX,5,Brand 81,11,18-03-2019,1500,Tax 5%,5,Exclusive,150,43,,,
BRONCHOLYTE,COUGH & CATTARH SYRUP,,,BOX,5,Brand 82,11,19-03-2019,450,Tax 5%,5,Exclusive,500,17,,,
VICRYL 2/0,SURGICALS,,,BOX,5,Brand 83,11,20-03-2019,400,Tax 5%,5,Exclusive,500,7,,,
CLARTEM DS,ANTI-MALARIA,,,BOX,5,Brand 84,11,21-03-2019,500,Tax 5%,5,Exclusive,600,9,,,
EMPILLIM SYR,ANTI EPILEPTICS,,,BOX,5,Brand 85,11,22-03-2019,0,Tax 5%,5,Exclusive,4500,0,,,
AMARYL 2MG,ANTI-DIABETIC,,,BOX,5,Brand 86,11,23-03-2019,2100,Tax 5%,5,Exclusive,2200,60,,,
CARVEDILOL 12.5,ANTI-HYPERTENSIVE,,,BOX,5,Brand 87,11,24-03-2019,700,Tax 5%,5,Exclusive,800,33,,,
GLUCOSAMINE CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 88,11,25-03-2019,0,Tax 5%,5,Exclusive,3000,0,,,
KETHA,ANTI-HYPERTENSIVE,,,BOX,5,Brand 89,11,26-03-2019,0,Tax 5%,5,Exclusive,250,0,,,
AUGMENTIN INJ 1.2MG,ANTI-BIOTICS,,,BOX,5,Brand 90,11,27-03-2019,0,Tax 5%,5,Exclusive,1350,0,,,
COFLIN TAB,LOZENGES,,,BOX,5,Brand 91,11,28-03-2019,0,Tax 5%,5,Exclusive,200,-2,,,
VICRYYL 2,SURGICALS,,,BOX,5,Brand 92,11,29-03-2019,400,Tax 5%,5,Exclusive,600,-17,,,
CLARTEM X 24,ANTI-MALARIA,,,BOX,5,Brand 93,11,30-03-2019,500,Tax 5%,5,Exclusive,600,41,,,
CYPLOX,ANTI-BIOTICS,,,BOX,5,Brand 94,11,31-03-2019,850,Tax 5%,5,Exclusive,1200,73,,,
CARVEDILOL 6.25mg,ANTI-HYPERTENSIVE,,,BOX,5,Brand 95,11,01-04-2019,500,Tax 5%,5,Exclusive,600,-1,,,
LUMARTEM BY 24,ANTI-MALARIA,,,BOX,5,Brand 96,11,02-04-2019,650,Tax 5%,5,Exclusive,800,6,,,
MESPORIN-1000,ANTI-BIOTICS,,,BOX,5,Brand 97,11,03-04-2019,0,Tax 5%,5,Exclusive,2000,6,,,
CATAFLAM SUSP,ANALGESIC,,,BOX,5,Brand 98,11,04-04-2019,0,Tax 5%,5,Exclusive,1800,0,,,
SOFTHEALTH CODLIVER OIL 1OOOMG,MULTIVITAMIN,,,BOX,5,Brand 99,11,05-04-2019,0,Tax 5%,5,Exclusive,300,53,,,
ZEDEX  lozenges,COUGH & CATTARH SYRUP,,,BOX,5,Brand 100,11,06-04-2019,1000,Tax 5%,5,Exclusive,1200,3,,,
ARTHEGET JUNIOR,ANTI-MALARIA,,,BOX,5,Brand 101,11,07-04-2019,1100,Tax 5%,5,Exclusive,1200,3,,,
LECITHIN 1200MG,SUPLEMENTS,,,BOX,5,Brand 102,11,08-04-2019,2300,Tax 5%,5,Exclusive,2800,2,,,
FISH OIL OMEGA 3 MANSON X 60,SUPLEMENTS,,,BOX,5,Brand 103,11,09-04-2019,3400,Tax 5%,5,Exclusive,4000,3,,,
SKINEAL TRASPARENT,SOAP,,,BOX,5,Brand 104,11,10-04-2019,0,Tax 5%,5,Exclusive,500,1,,,
REACH ESSENTIAL  400ML,SERVICES,,,BOX,5,Brand 105,11,11-04-2019,0,Tax 5%,5,Exclusive,1800,1,,,
L-ARGININE 500MG,SUPLEMENTS,,,BOX,5,Brand 106,11,12-04-2019,3500,Tax 5%,5,Exclusive,4000,2,,,
BETROSIL CREAME,CREAMS AND LOTIONS,,,BOX,5,Brand 107,11,13-04-2019,0,Tax 5%,5,Exclusive,500,45,,,
RELOAD FOR MEN X 90,SUPLEMENTS,,,BOX,5,Brand 108,11,14-04-2019,0,Tax 5%,5,Exclusive,8000,8,,,
TROSYD CREAM,CREAMS AND LOTIONS,,,BOX,5,Brand 109,11,15-04-2019,2100,Tax 5%,5,Exclusive,2500,2,,,
PEARS LOTION SMALL,CREAMS AND LOTIONS,,,BOX,5,Brand 110,11,16-04-2019,900,Tax 5%,5,Exclusive,1000,13,,,
PRYTUNE LINTUS,COUGH & CATTARH SYRUP,,,BOX,5,Brand 111,11,17-04-2019,0,Tax 5%,5,Exclusive,400,8,,,
FEROGLOBIN SYRUP,MULTIVITAMIN,,,BOX,5,Brand 112,11,18-04-2019,3000,Tax 5%,5,Exclusive,3400,3,,,
SELSUN SHAMPOO,SERVICES,,,BOX,5,Brand 113,11,19-04-2019,5500,Tax 5%,5,Exclusive,6000,2,,,
ROYAL SHAVING POWDER,SERVICES,,,BOX,5,Brand 114,11,20-04-2019,1300,Tax 5%,5,Exclusive,1400,3,,,
WELLMAN 70 PLUS,MULTIVITAMIN,,,BOX,5,Brand 115,11,21-04-2019,5500,Tax 5%,5,Exclusive,6000,12,,,
TEGRETOL SUSPENSION 2% WITHOUT,ANTI EPILEPTICS,,,BOX,5,Brand 116,11,22-04-2019,2800,Tax 5%,5,Exclusive,3500,1,,,
PITROFIN SYR,ANTI EPILEPTICS,,,BOX,5,Brand 117,11,23-04-2019,500,Tax 5%,5,Exclusive,700,4,,,
ASMALYN SYR,COUGH & CATTARH SYRUP,,,BOX,5,Brand 118,11,24-04-2019,350,Tax 5%,5,Exclusive,400,56,,,
DR MEYERS CALCIMAX SUSP,MULTIVITAMIN,,,BOX,5,Brand 119,11,25-04-2019,0,Tax 5%,5,Exclusive,300,-1,,,
LEVOFLOX,ANTI-BIOTICS,,,BOX,5,Brand 120,11,26-04-2019,600,Tax 5%,5,Exclusive,1000,-1,,,
AMOXIL BEECHAM SUSP,ANTI-BIOTICS,,,BOX,5,Brand 121,11,27-04-2019,1800,Tax 5%,5,Exclusive,2000,15,,,
AMPICLOX BEECHAM SUSP,ANTI-BIOTICS,,,BOX,5,Brand 122,11,28-04-2019,1800,Tax 5%,5,Exclusive,2200,-2,,,
ROSICLOX SUSP,ANTI-BIOTICS,,,BOX,5,Brand 123,11,29-04-2019,650,Tax 5%,5,Exclusive,700,31,,,
JAWACLOX SUSP,ANTI-BIOTICS,,,BOX,5,Brand 124,11,30-04-2019,320,Tax 5%,5,Exclusive,500,20,,,
VIT C *1000*,MULTIVITAMIN,,,BOX,5,Brand 125,11,01-05-2019,0,Tax 5%,5,Exclusive,50,-2,,,
ZINNAT 250MG TAB,ANTI-BIOTICS,,,BOX,5,Brand 126,11,02-05-2019,3500,Tax 5%,5,Exclusive,3500,16,,,
ALWAYS PAD,SURGICALS,,,BOX,5,Brand 127,11,03-05-2019,700,Tax 5%,5,Exclusive,700,30,,,
NARROW BOUFFANT CAP,SURGICALS,,,BOX,5,Brand 128,11,04-05-2019,0,Tax 5%,5,Exclusive,100,0,,,
DEXTROSE SALINE 5%,SURGICALS,,,BOX,5,Brand 129,11,05-05-2019,12000,Tax 5%,5,Exclusive,600,27,,,
NO-ACH,ANALGESIC,,,BOX,5,Brand 130,11,06-05-2019,800,Tax 5%,5,Exclusive,900,9,,,
STREPSILS,ANTI-BIOTICS,,,BOX,5,Brand 131,11,07-05-2019,1100,Tax 5%,5,Exclusive,1200,-1,,,
FEED FINE,MULTIVITAMIN,,,BOX,5,Brand 132,11,08-05-2019,150,Tax 5%,5,Exclusive,200,2,,,
SURECLOFEN PLUS,ANALGESIC,,,BOX,5,Brand 133,11,09-05-2019,70,Tax 5%,5,Exclusive,100,83,,,
PARACETAMOL (EMZOR) DROP 15ML,ANALGESIC,,,BOX,5,Brand 134,11,10-05-2019,300,Tax 5%,5,Exclusive,350,68,,,
COTTON WOOL 20G,SURGICALS,,,BOX,5,Brand 135,11,11-05-2019,70,Tax 5%,5,Exclusive,100,19,,,
MISOCLEAR BY 10,HORMONAL,,,BOX,5,Brand 136,11,12-05-2019,0,Tax 5%,5,Exclusive,1400,5,,,
LONART DISPERSABLE,ANTI-MALARIA,,,BOX,5,Brand 137,11,13-05-2019,300,Tax 5%,5,Exclusive,350,30,,,
CAMOSUNATE BELOW 1YEAR,ANTI-MALARIA,,,BOX,5,Brand 138,11,14-05-2019,6300,Tax 5%,5,Exclusive,800,52,,,
LOKMAL QS,ANTI-MALARIA,,,BOX,5,Brand 139,11,15-05-2019,700,Tax 5%,5,Exclusive,800,12,,,
CAMOSUNATE ADULT 14&ABOVE,ANTI-MALARIA,,,BOX,5,Brand 140,11,16-05-2019,8900,Tax 5%,5,Exclusive,1200,7,,,
BUNTO TONIC 100ML,MULTIVITAMIN,,,BOX,5,Brand 141,11,17-05-2019,250,Tax 5%,5,Exclusive,300,0,,,
BUNTO TONIC 300ML,MULTIVITAMIN,,,BOX,5,Brand 142,11,18-05-2019,600,Tax 5%,5,Exclusive,700,29,,,
HB-12 SYRUP,MULTIVITAMIN,,,BOX,5,Brand 143,11,19-05-2019,1200,Tax 5%,5,Exclusive,1400,8,,,
HAEMOGLOBIN ARYTONS,MULTIVITAMIN,,,BOX,5,Brand 144,11,20-05-2019,1400,Tax 5%,5,Exclusive,1600,13,,,
CAMOSUNATE 1-6,ANTI-MALARIA,,,BOX,5,Brand 145,11,21-05-2019,6700,Tax 5%,5,Exclusive,900,-189,,,
VIGRX CUP,SEX   ENHANCCER,,,BOX,5,Brand 146,11,22-05-2019,450,Tax 5%,5,Exclusive,1000,2,,,
VEGA  PLUS,SEX   ENHANCCER,,,BOX,5,Brand 147,11,23-05-2019,270,Tax 5%,5,Exclusive,300,12,,,
MANOLL,MULTIVITAMIN,,,BOX,5,Brand 148,11,24-05-2019,1000,Tax 5%,5,Exclusive,1500,0,,,
JAWARON TONIC,MULTIVITAMIN,,,BOX,5,Brand 149,11,25-05-2019,520,Tax 5%,5,Exclusive,600,-2,,,
ANAFRANIL ORIGINAL,SEX   ENHANCCER,,,BOX,5,Brand 150,11,26-05-2019,2300,Tax 5%,5,Exclusive,150,-30,,,
LARYKUL 75MG,ANALGESIC,,,BOX,5,Brand 151,11,27-05-2019,700,Tax 5%,5,Exclusive,1000,42,,,
BECOMBION,MULTIVITAMIN,,,BOX,5,Brand 152,11,28-05-2019,350,Tax 5%,5,Exclusive,400,16,,,
MIM DROP,MULTIVITAMIN,,,BOX,5,Brand 153,11,29-05-2019,0,Tax 5%,5,Exclusive,200,0,,,
PURE COD-LIVER OIL SYR,MULTIVITAMIN,,,BOX,5,Brand 154,11,30-05-2019,2500,Tax 5%,5,Exclusive,2800,23,,,
BARBIMYCIN SYR,ANTI-BIOTICS,,,BOX,5,Brand 155,11,31-05-2019,200,Tax 5%,5,Exclusive,300,10,,,
ARTEETHER 150MG POCCO,ANTI-MALARIA,,,BOX,5,Brand 156,11,01-06-2019,900,Tax 5%,5,Exclusive,1000,44,,,
BIOSEA BIG,MULTIVITAMIN,,,BOX,5,Brand 157,11,02-06-2019,3000,Tax 5%,5,Exclusive,3500,9,,,
CHLOROQUINE 22.1,ANTI-MALARIA,,,BOX,5,Brand 158,11,03-06-2019,24.5,Tax 5%,5,Exclusive,750,2,,,
UNIPLEX SYRUP,COUGH & CATTARH SYRUP,,,BOX,5,Brand 159,11,04-06-2019,0,Tax 5%,5,Exclusive,300,0,,,
MYCOSTATIN SUSP,ANTI-BIOTICS,,,BOX,5,Brand 160,11,05-06-2019,450,Tax 5%,5,Exclusive,500,13,,,
MENTHODEX SYRUP,COUGH & CATTARH SYRUP,,,BOX,5,Brand 161,11,06-06-2019,1000,Tax 5%,5,Exclusive,1200,54,,,
INDOMETHACIN CAP,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 162,11,07-06-2019,70,Tax 5%,5,Exclusive,100,104,,,
EMGYL SUSP,ANTI-BIOTICS,,,BOX,5,Brand 163,11,08-06-2019,280,Tax 5%,5,Exclusive,300,35,,,
EMTRIM SUSP,ANTI-BIOTICS,,,BOX,5,Brand 164,11,09-06-2019,250,Tax 5%,5,Exclusive,300,5,,,
PRIMPEX SUSP,ANTI-BIOTICS,,,BOX,5,Brand 165,11,10-06-2019,400,Tax 5%,5,Exclusive,500,45,,,
FLAGYL SUSP 4%,ANTI-BIOTICS,,,BOX,5,Brand 166,11,11-06-2019,800,Tax 5%,5,Exclusive,900,14,,,
LOXAGYL SUSP,ANTI-BIOTICS,,,BOX,5,Brand 167,11,12-06-2019,230,Tax 5%,5,Exclusive,300,-1,,,
EMMOX SUSP,ANTI-BIOTICS,,,BOX,5,Brand 168,11,13-06-2019,400,Tax 5%,5,Exclusive,500,4,,,
TUTOLIN EXPECT SYRUP,COUGH & CATTARH SYRUP,,,BOX,5,Brand 169,11,14-06-2019,260,Tax 5%,5,Exclusive,300,27,,,
JAWAMOX,ANTI-BIOTICS,,,BOX,5,Brand 170,11,15-06-2019,320,Tax 5%,5,Exclusive,500,-1,,,
PIRITON SYR UK (BRANDED),COUGH & CATTARH SYRUP,,,BOX,5,Brand 171,11,16-06-2019,3000,Tax 5%,5,Exclusive,3500,-1,,,
EMGYL 400MG,ANTI-BIOTICS,,,BOX,5,Brand 172,11,17-06-2019,0,Tax 5%,5,Exclusive,100,-1,,,
VIT K INJ,HORMONAL,,,BOX,5,Brand 173,11,18-06-2019,0,Tax 5%,5,Exclusive,100,12,,,
SCALP VAIN (BLUE),SURGICALS,,,BOX,5,Brand 174,11,19-06-2019,4500,Tax 5%,5,Exclusive,50,443,,,
VIT B CO X 1000,MULTIVITAMIN,,,BOX,5,Brand 175,11,20-06-2019,650,Tax 5%,5,Exclusive,700,9,,,
DEXTROSE WATER 50%,SURGICALS,,,BOX,5,Brand 176,11,21-06-2019,0,Tax 5%,5,Exclusive,1000,48,,,
LUCOZADE ORIGINAL BIG,ENERGY BOOST,,,BOX,5,Brand 177,11,22-06-2019,1100,Tax 5%,5,Exclusive,1200,1,,,
APPROVASC 300/10MG,ANTI-HYPERTENSIVE,,,BOX,5,Brand 178,11,23-06-2019,1450,Tax 5%,5,Exclusive,1750,0,,,
LAWASH,RARE,,,BOX,5,Brand 179,11,24-06-2019,350,Tax 5%,5,Exclusive,500,0,,,
SUPER APETI PLUS SYR,MULTIVITAMIN,,,BOX,5,Brand 180,11,25-06-2019,750,Tax 5%,5,Exclusive,900,2,,,
BONECARE,ANTI INFLAMMATORY AGENTS,,,BOX,5,Brand 181,11,26-06-2019,4800,Tax 5%,5,Exclusive,5000,0,,,
MISOCLEAR 200MG,HORMONAL,,,BOX,5,Brand 182,11,27-06-2019,0,Tax 5%,5,Exclusive,100,-11,,,
AUGMENTIN TABLET 625,ANTI-BIOTICS,,,BOX,5,Brand 183,11,28-06-2019,4700,Tax 5%,5,Exclusive,5000,322,,,
AUGMENTIN 1G TAB,ANTI-BIOTICS,,,BOX,5,Brand 184,11,29-06-2019,5000,Tax 5%,5,Exclusive,5500,103,,,
NECTAMIN,MULTIVITAMIN,,,BOX,5,Brand 185,11,30-06-2019,800,Tax 5%,5,Exclusive,1100,0,,,
HIMALAYA BONNISAN,MULTIVITAMIN,,,BOX,5,Brand 186,11,01-07-2019,0,Tax 5%,5,Exclusive,2500,0,,,
AUGMENTIN SUSP 457,ANTI-BIOTICS,,,BOX,5,Brand 187,11,02-07-2019,4500,Tax 5%,5,Exclusive,5500,1,,,
P-ALAXIN SYR,ANTI-MALARIA,,,BOX,5,Brand 188,11,03-07-2019,1100,Tax 5%,5,Exclusive,1300,3,,,
KING TONIC,MULTIVITAMIN,,,BOX,5,Brand 189,11,04-07-2019,320,Tax 5%,5,Exclusive,500,-1,,,
BLACK DIAMOND,SEX   ENHANCCER,,,BOX,5,Brand 190,11,05-07-2019,500,Tax 5%,5,Exclusive,1000,1,,,
HYGRA 150,SEX   ENHANCCER,,,BOX,5,Brand 191,11,06-07-2019,150,Tax 5%,5,Exclusive,300,210,,,
ORHEPTAL BIG I LITRE,MULTIVITAMIN,,,BOX,5,Brand 192,11,07-07-2019,800,Tax 5%,5,Exclusive,1200,1,,,
