Item Name,Category Name,SKU,HSN,Unit Name,Alert Quantity,Brand Name,Lot Number,Expire Date, Purchase Price ,Tax Name,Tax Value,Tax Type,Sales Price,Opening Stock,Barcode,DISCOUNT TYPE,DISCOUNT
Dannio - Drilling Bit [16mm x 150 x215mm],General,,,PIECES,3,Total,,, 700.00000 ,0,0,Exclusive," 1,100.0000 ",3,,Fixed,
SDS Plus Hammer Drill [16mm] ,General,,,PIECES,11,Total,,, 700.00000 ,0,0,Exclusive," 1,100.0000 ",11,,Fixed,
BWT-6305-2RS -Bearing,General,,,PIECES,10,Total,,, 750.00000 ,0,0,Exclusive," 1,175.0000 ",10,,Fixed,
Dannio - Pointed Chisel Bit [14 x 250mm],General,,,PIECES,95,Total,,, 750.00000 ,0,0,Exclusive," 1,175.0000 ",95,,Fixed,
Dannio -Flat Chisel Bit[14 x 250mm],General,,,PIECES,6,Total,,, 750.00000 ,0,0,Exclusive," 1,175.0000 ",6,,Fixed,
Total Wire Cup Brush [75mm] 3'',General,,,PIECES,8,Total,,, 800.00000 ,0,0,Exclusive," 1,250.0000 ",8,,Fixed,
BWT-6207-2RS-Bearing,General,,,PIECES,9,Total,,, 850.00000 ,0,0,Exclusive," 1,325.0000 ",9,,Fixed,
Dannio - Drilling Bit [18mm x 200x 260mm],General,,,PIECES,4,Total,,, 900.00000 ,0,0,Exclusive," 1,400.0000 ",4,,Fixed,
Dannio- Drilling Bit [10mm x 350 x 410mm],General,,,PIECES,6,Total,,, 900.00000 ,0,0,Exclusive," 1,400.0000 ",6,,Fixed,
SDS Plus Hammer Drill [18mm] ,General,,,PIECES,35,Total,,, 900.00000 ,0,0,Exclusive," 1,400.0000 ",35,,Fixed,
Total 3m x 16mm Measuring Tape ,General,,,PIECES,148,Total,,, 900.00000 ,0,0,Exclusive," 1,400.0000 ",148,,Fixed,
Dannio - Drilling Bit [12mm x 350 x 410mm] ,General,,,PIECES,23,Total,,," 1,000.00000 ",0,0,Exclusive," 1,550.0000 ",23,,Fixed,
JDSMP Top Grade Led Ceiling,General,,,PIECES,1,Total,,," 1,000.00000 ",0,0,Exclusive," 1,550.0000 ",1,,Fixed,
JUMLEE HSS BI-Metal Hole Saw Arbor HEX,General,,,PIECES,4,Total,,," 1,000.00000 ",0,0,Exclusive," 1,550.0000 ",4,,Fixed,
Jumlee Screwdriver Bit (10pcs set),General,,,PIECES,29,Total,,," 1,000.00000 ",0,0,Exclusive," 1,550.0000 ",29,,Fixed,
BWT-6208-2RS-Bearing,General,,,PIECES,5,Total,,," 1,100.00000 ",0,0,Exclusive," 1,640.0000 ",5,,Fixed,
SDS Plus Hammer Drill [20mm],General,,,PIECES,31,Total,,," 1,100.00000 ",0,0,Exclusive," 1,640.0000 ",31,,Fixed,
Total 5m x 19mm Measuring Tape ,General,,,PIECES,437,Total,,," 1,100.00000 ",0,0,Exclusive," 1,640.0000 ",437,,Fixed,
Total Bolt Cutter [30''] 750mm ,General,,,PIECES,16,Total,,," 1,100.00000 ",0,0,Exclusive," 1,640.0000 ",16,,Fixed,
ALUMINUIM Hole saw cutter 14mm,General,,,PIECES,1,Total,,," 1,200.00000 ",0,0,Exclusive," 1,780.0000 ",1,,Fixed,
Dannio Drilling Bit [14mm x 350 x 410mm],General,,,PIECES,2,Total,,," 1,200.00000 ",0,0,Exclusive," 1,780.0000 ",2,,Fixed,
Jumlee Hss Bi- Metal Hole Arbor,General,,,PIECES,4,Total,,," 1,200.00000 ",0,0,Exclusive," 1,780.0000 ",4,,Fixed,
MASSAKI Drilling Bit 9.0mm,General,,,PIECES,21,Total,,," 1,200.00000 ",0,0,Exclusive," 1,780.0000 ",21,,Fixed,
Massaki Screw Driver Bit s2 (10pcs in set),General,,,PIECES,9,Total,,," 1,200.00000 ",0,0,Exclusive," 1,780.0000 ",9,,Fixed,
Total Fibre Glass Measuring Tape ,General,,,PIECES,4,Total,,," 1,250.00000 ",0,0,Exclusive," 1,850.0000 ",4,,Fixed,
ALUMINUIM Hole saw cutter 22mm,General,,,PIECES,1,Total,,," 1,300.00000 ",0,0,Exclusive," 1,920.0000 ",1,,Fixed,
BWT-6306-2RS -Bearing,General,,,PIECES,10,Total,,," 1,300.00000 ",0,0,Exclusive," 1,920.0000 ",10,,Fixed,
Dannio - Drilling Bit [16mm x 350 x 410mm],General,,,PIECES,2,Total,,," 1,300.00000 ",0,0,Exclusive," 1,920.0000 ",2,,Fixed,
Demolition Concrete Drilling Bit [16mm x 350 x 410mm],General,,,PIECES,2,Total,,," 1,300.00000 ",0,0,Exclusive," 1,920.0000 ",2,,Fixed,
EUROTEK TCT Hole Saw Cutter 22mm,General,,,PIECES,1,Total,,," 1,300.00000 ",0,0,Exclusive," 1,920.0000 ",1,,Fixed,
ALUMINUIM Hole saw cutter 24mm,General,,,PIECES,1,Total,,," 1,400.00000 ",0,0,Exclusive," 2,060.0000 ",1,,Fixed,
Dannio Drilling Bit [18mm x 350 x 410mm],General,,,PIECES,9,Total,,," 1,400.00000 ",0,0,Exclusive," 2,060.0000 ",9,,Fixed,
Dannio - Drilling Bit [25mm x 150 x 210mm],General,,,PIECES,2,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",2,,Fixed,
Deweller 65l Screw Driver Bit (Ph2+-) 10pcs,General,,,PIECES,10,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",10,,Fixed,
JUMLEE HSS BI-Metal Hole Saw 20mm,General,,,PIECES,26,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",26,,Fixed,
Massaki Drilling Bit  8.5mm ,General,,,PIECES,9,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",9,,Fixed,
MASSAKI Drilling Bit 1.0mm,General,,,PIECES,20,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",20,,Fixed,
MASSAKI Drilling Bit 1.5mm,General,,,PIECES,20,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",20,,Fixed,
Red Hook 1 Ton,General,,,PIECES,4,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",4,,Fixed,
Total 2 in 1 Screw Driver Set ,General,,,PIECES,,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",,,Fixed,
Total Detachachable 6 in 1 Screw Driver Set,General,,,PIECES,13,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",13,,Fixed,
Total Machinist Hammer [300g],General,,,PIECES,15,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",15,,Fixed,
Total Pointed Chisel 18 x 400mm,General,,,PIECES,13,Total,,," 1,500.00000 ",0,0,Exclusive," 2,200.0000 ",13,,Fixed,
Dannio Pointed Chisel Bit [18mm x 400mm]Demolition Head,General,,,PIECES,1,Total,,," 1,600.00000 ",0,0,Exclusive," 2,340.0000 ",1,,Fixed,
Total Pointed Chisel [17mm x 280mm] ,General,,,PIECES,1,Total,,," 1,600.00000 ",0,0,Exclusive," 2,340.0000 ",1,,Fixed,
Dannio - Drilling Bit [22mm x 350 x 410mm],General,,,PIECES,5,Total,,," 1,700.00000 ",0,0,Exclusive," 2,480.0000 ",5,,Fixed,
MASSAKI Drilling Bit 2.0mm,General,,,PIECES,10,Total,,," 1,700.00000 ",0,0,Exclusive," 2,480.0000 ",10,,Fixed,
Massaki Drilling Bit 2.0mm,General,,,PIECES,10,Total,,," 1,700.00000 ",0,0,Exclusive," 2,480.0000 ",10,,Fixed,
MASSAKI Drilling Bit 9.5mm,General,,,PIECES,10,Total,,," 1,700.00000 ",0,0,Exclusive," 2,480.0000 ",10,,Fixed,
ALUMINUIM Hole saw cutter 27mm,General,,,PIECES,2,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",2,,Fixed,
ALUMINUIM Hole saw cutter 30mm,General,,,PIECES,4,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",4,,Fixed,
ALUMINUIM Hole saw cutter 30mm,General,,,PIECES,1,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",1,,Fixed,
EUROTEK TCT Hole Saw Cutter 30mm,General,,,PIECES,3,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",3,,Fixed,
MASSAKI Drilling Bit 2.5mm,General,,,PIECES,10,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",10,,Fixed,
Massaki Drilling Bit 2.5mm ,General,,,PIECES,10,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",10,,Fixed,
Massaki TCT Hole Saw Cutter 16mm,General,,,PIECES,1,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",1,,Fixed,
Total Bent Nos Plier [160mm] 6'',General,,,PIECES,21,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",21,,Fixed,
Total Long Nose Nose Plier [160mm] 6'',General,,,PIECES,8,Total,,," 1,800.00000 ",0,0,Exclusive," 2,620.0000 ",8,,Fixed,
Inc- co (8pcs) Screw Driver Set AKISD0808,General,,,PIECES,2,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",2,,Fixed,
Inc- co Precision Screw Driver Set [7pcs Set] HKSDO718,General,,,PIECES,5,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",5,,Fixed,
Massaki Drilling Bit 1.5mm,General,,,PIECES,20,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",20,,Fixed,
Massaki Drilling Bit 10 .5mm,General,,,PIECES,10,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",10,,Fixed,
MASSAKI Drilling Bit 10.0mm,General,,,PIECES,15,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",15,,Fixed,
MASSAKI Drilling Bit 10.5mm,General,,,PIECES,10,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",10,,Fixed,
Massaki Drilling Bit 10mm,General,,,PIECES,15,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",15,,Fixed,
MASSAKI Drilling Bit 3.0mm,General,,,PIECES,116,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",116,,Fixed,
Massaki Drilling Bit 3.0mm,General,,,PIECES,116,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",116,,Fixed,
Massaki TCT Hole Cutter Saw Size 20mm,General,,,PIECES,2,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 18mm,General,,,PIECES,2,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 20mm,General,,,PIECES,3,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",3,,Fixed,
Red Hook 2 Ton,General,,,PIECES,6,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",6,,Fixed,
Total 8m x 25mm Measuring Tape ,General,,,PIECES,17,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",17,,Fixed,
Total Cylinder Brush [8 in 1 Set] ,General,,,PIECES,10,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",10,,Fixed,
Total Hacksaw Frame 12'' [300mm],General,,,PIECES,61,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",61,,Fixed,
Total Hex Key [2-8mm] ,General,,,PIECES,22,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",22,,Fixed,
Total Pipe Wrench [200mm] 8'',General,,,PIECES,26,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",26,,Fixed,
Total Stoning Hammer [500g],General,,,PIECES,20,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",20,,Fixed,
Total Torx Key T-10 T50 [Allen Key] ,General,,,PIECES,40,Total,,," 2,000.00000 ",0,0,Exclusive," 2,900.0000 ",40,,Fixed,
BWT-6308-2RS -Bearing,General,,,PIECES,5,Total,,," 2,100.00000 ",0,0,Exclusive," 3,040.0000 ",5,,Fixed,
ALUMINUIM Hole saw cutter 35mm,General,,,PIECES,2,Total,,," 2,200.00000 ",0,0,Exclusive," 3,180.0000 ",2,,Fixed,
Fast Way Hole Saw Cutter Hss 1 1/2 ,General,,,PIECES,2,Total,,," 2,200.00000 ",0,0,Exclusive," 3,180.0000 ",2,,Fixed,
Inc -co Hex Key Ball Point HHK12092,General,,,PIECES,8,Total,,," 2,200.00000 ",0,0,Exclusive," 3,180.0000 ",8,,Fixed,
Inc co Torx Key [8pcs] Set HHKT8083,General,,,PIECES,2,Total,,," 2,200.00000 ",0,0,Exclusive," 3,180.0000 ",2,,Fixed,
Total Combination Plier [200mm] 8'',General,,,PIECES,15,Total,,," 2,200.00000 ",0,0,Exclusive," 3,180.0000 ",15,,Fixed,
Welloo Combination Plier 8'' ,General,,,PIECES,3,Total,,," 2,200.00000 ",0,0,Exclusive," 3,180.0000 ",3,,Fixed,
ALUMINUIM Hole saw cutter 48mm,General,,,PIECES,2,Total,,," 2,300.00000 ",0,0,Exclusive," 3,320.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 22mm,General,,,PIECES,1,Total,,," 2,300.00000 ",0,0,Exclusive," 3,320.0000 ",1,,Fixed,
Massaki TCT Hole Saw Size  22mm,General,,,PIECES,1,Total,,," 2,300.00000 ",0,0,Exclusive," 3,320.0000 ",1,,Fixed,
SDS Plus Hammer Drill [24mm] ,General,,,PIECES,12,Total,,," 2,400.00000 ",0,0,Exclusive," 3,460.0000 ",12,,Fixed,
Inc-co Hook Knife HPK81801,General,,,PIECES,5,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",5,,Fixed,
MASSAKI Drilling Bit 3.5mm,General,,,PIECES,10,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",10,,Fixed,
Massaki Drillng Bit 3.5mm,General,,,PIECES,10,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",10,,Fixed,
Skole TCT Hole  Saw 18mm,General,,,PIECES,1,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",1,,Fixed,
Total [6pcs] Screw Driver Set ,General,,,PIECES,13,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",13,,Fixed,
Total Adjustable Wrench  Spanner [200mm] ,General,,,PIECES,6,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",6,,Fixed,
Total Aviation Snip [250mm] 10'',General,,,PIECES,36,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",36,,Fixed,
Total Hand Saw [400mm] 16'',General,,,PIECES,15,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",15,,Fixed,
Total Pipe Wrench [250mm] 10'',General,,,PIECES,33,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",33,,Fixed,
Total Pointed Chisel [30mm x 410mm] ,General,,,PIECES,9,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",9,,Fixed,
Total Pump Plier 250mm [10''],General,,,PIECES,6,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",6,,Fixed,
Total Rubber Hammer [160z],General,,,PIECES,24,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",24,,Fixed,
Total Scissors [275mm] 11'',General,,,PIECES,94,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",94,,Fixed,
Total Super Select Caulking Gun ,General,,,PIECES,4,Total,,," 2,500.00000 ",0,0,Exclusive," 3,600.0000 ",4,,Fixed,
MASSAKI Drilling Bit 11.5mm,General,,,PIECES,10,Total,,," 2,600.00000 ",0,0,Exclusive," 3,740.0000 ",10,,Fixed,
MASSAKI Drilling Bit 12.5mm,General,,,PIECES,10,Total,,," 2,600.00000 ",0,0,Exclusive," 3,740.0000 ",10,,Fixed,
MASSAKI Drilling Bit 13.0mm,General,,,PIECES,10,Total,,," 2,600.00000 ",0,0,Exclusive," 3,740.0000 ",10,,Fixed,
Dannio - Drilling Bit [25mm x 350 x 410mm],General,,,PIECES,4,Total,,," 2,800.00000 ",0,0,Exclusive," 4,020.0000 ",4,,Fixed,
Inc- co Leather Hole Punch HLHPOL,General,,,PIECES,1,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",1,,Fixed,
Inc -co Spirit Level HSL58040 [40cm],General,,,PIECES,4,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",4,,Fixed,
Inc-co Heavy Duty Cable Cutter 250mm [10''] HHCCB 0210,General,,,PIECES,10,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",10,,Fixed,
Inc-co Pump Plier HPP0300 [12''],General,,,PIECES,4,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",4,,Fixed,
Massaki TCT Hole Cutter Saw Size 30mm,General,,,PIECES,2,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 30mm,General,,,PIECES,1,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",1,,Fixed,
Total [10pcs] Screw Driver Set,General,,,PIECES,28,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",28,,Fixed,
Total Adjustable Wrench [200mm] 8'',General,,,PIECES,9,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",9,,Fixed,
Total Pipe Wrench [300mm] 12'',General,,,PIECES,13,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",13,,Fixed,
Total Straight Jaw Plier [10''],General,,,PIECES,31,Total,,," 3,000.00000 ",0,0,Exclusive," 4,300.0000 ",31,,Fixed,
Inc -co Stoning Hammer [2000g] ,General,,,PIECES,23,Total,,," 3,200.00000 ",0,0,Exclusive," 4,580.0000 ",23,,Fixed,
Total Rotary Hammer [800w],General,,,PIECES,2,Total,,," 3,200.00000 ",0,0,Exclusive," 4,580.0000 ",2,,Fixed,
Total Rotary Hammer [800w],General,,,PIECES,2,Total,,," 3,200.00000 ",0,0,Exclusive," 4,580.0000 ",2,,Fixed,
Total Stoning Hammer [1000g] ,General,,,PIECES,24,Total,,," 3,200.00000 ",0,0,Exclusive," 4,580.0000 ",24,,Fixed,
Dannio - Drilling Bit [26mm x 350 x 410mm],General,,,PIECES,5,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",5,,Fixed,
G- Cable Cutter [250mm] 10'' HCCB0210,General,,,PIECES,10,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",10,,Fixed,
Inc- co Booster Cable [200amps] ,General,,,PIECES,5,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",5,,Fixed,
Inc- co Wire Stripper [7''] HWSP04,General,,,PIECES,3,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",3,,Fixed,
Inc -co Wire Stripper HWSPO4,General,,,PIECES,5,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",5,,Fixed,
Massaki Drilling Bit  4.0mm,General,,,PIECES,18,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",18,,Fixed,
MASSAKI Drilling Bit 4.0mm,General,,,PIECES,18,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",18,,Fixed,
Massaki TCT Hole Cutter Saw Size 35mm,General,,,PIECES,1,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",1,,Fixed,
Massaki TCT Hole Cutter Saw Size 40mm,General,,,PIECES,2,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 35mm,General,,,PIECES,1,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",1,,Fixed,
Massaki TCT Hole Saw Cutter 38mm,General,,,PIECES,1,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",1,,Fixed,
Massaki TCT Hole Saw Cutter 40mm,General,,,PIECES,5,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",5,,Fixed,
Red Hook 3 Ton,General,,,PIECES,4,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",4,,Fixed,
Total Adjustable Wrench [250mm] 10'',General,,,PIECES,24,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",24,,Fixed,
Total Bolt Cutter [300mm] 12'',General,,,PIECES,3,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",3,,Fixed,
Total Diamond Concrete Cutting Disc [9''],General,,,PIECES,19,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",19,,Fixed,
Total Glue Gun [100w],General,,,PIECES,2,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",2,,Fixed,
Total Pipe Wrench [350mm] 14'',General,,,PIECES,2,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",2,,Fixed,
Total Skeleton Caulking Gun [9''],General,,,PIECES,28,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",28,,Fixed,
Total Soldering Iron [60w],General,,,PIECES,2,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",2,,Fixed,
Total Stoning Hammer [1500g],General,,,PIECES,13,Total,,," 3,500.00000 ",0,0,Exclusive," 5,000.0000 ",13,,Fixed,
Total Angle Grinder [2400w],General,,,PIECES,6,Total,,," 3,800.00000 ",0,0,Exclusive," 5,420.0000 ",6,,Fixed,
MASSAKI Drilling Bit 13.5mm,General,,,PIECES,2,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",2,,Fixed,
Massaki TCT Hole Cutter Saw Size 45mmm,General,,,PIECES,2,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",2,,Fixed,
Massaki TCT Hole Cutter Saw Size 50mm,General,,,PIECES,2,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 45mm,General,,,PIECES,1,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",1,,Fixed,
Skole Trading 4.0mm Hss Twist Drill Bit,General,,,PIECES,8,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",8,,Fixed,
Total Adjustable Wrench [300mm] 12'',General,,,PIECES,7,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",7,,Fixed,
Total Aluminium Caulking Gun [9''],General,,,PIECES,10,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",10,,Fixed,
ToTAL Pipe Cutter 332m,General,,,PIECES,5,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",5,,Fixed,
Total Vernier Caliper [200mm] 8'',General,,,PIECES,9,Total,,," 4,000.00000 ",0,0,Exclusive," 5,700.0000 ",9,,Fixed,
Total Angle Grinder [2600w],General,,,PIECES,4,Total,,," 4,200.00000 ",0,0,Exclusive," 5,980.0000 ",4,,Fixed,
Inc -co Bolt Cutter [350mm] 14'',General,,,PIECES,16,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",16,,Fixed,
Inc- co Spirit Level [80cm] HSLO8080,General,,,PIECES,5,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",5,,Fixed,
MASSAKI Drilling Bit 14.0mm,General,,,PIECES,3,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",3,,Fixed,
Massaki TCT Hole Cutter Saw Size 60mm,General,,,PIECES,2,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",2,,Fixed,
Massaki TCT Hole Saw Cutter 60mm,General,,,PIECES,4,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",4,,Fixed,
Red Hook 5 Ton,General,,,PIECES,5,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",5,,Fixed,
Total   Hnd Saw [450mm] ,General,,,PIECES,18,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",18,,Fixed,
Total Bolt Cutter [350mm] 14'',General,,,PIECES,2,Total,,," 4,500.00000 ",0,0,Exclusive," 6,400.0000 ",2,,Fixed,
Concrete Hole Saw 50m,General,,,PIECES,1,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",1,,Fixed,
Inc- co Circlip Plier Set HCCPSO1180 [4Pcs],General,,,PIECES,1,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",1,,Fixed,
Inc -co Spirit Level HSL58100 [100cm],General,,,PIECES,5,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",5,,Fixed,
Massaki Drilling Bit  6.0mm ,General,,,PIECES,4,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",4,,Fixed,
MASSAKI Drilling Bit 5.5mm,General,,,PIECES,15,Total,,," 5,000.00000 ",0,0,Exclusive," 7,100.0000 ",15,,Fixed,
